Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Lat,Long
Uganda,Africa,45867852,1223,,5,,1102,,116,,27,0.1,288367,6287,Africa,1.373333,32.290275
UK,Europe,67922029,308134,,46413,,,,,73,4537,683,17515234,257873,Europe,55.378051,-3.435973
Ukraine,Europe,43705858,76808,,1819,,42524,,32465,158,1757,42,1116641,25549,Europe,48.379433,31.16558
Uruguay,South America,3474956,1318,,37,,1079,,202,2,379,11,126956,36535,Americas,-32.522779,-55.765835
USA,North America,331198130,5032179,,162804,,2576668,,2292707,18296,15194,492,63139605,190640,Americas,37.09024,-95.712891
Uzbekistan,Asia,33516027,28315,,175,,19291,,8849,228,845,5,1377915,41112,Europe,41.377491,64.585262
Vatican City,Europe,801,12,,,,12,,0,,14981,,,,Europe,41.902916,12.453389
Venezuela,South America,28427499,22299,,195,,12146,,9958,42,784,7,1567431,55138,Americas,6.42375,-66.58973
Vietnam,Asia,97425470,747,,10,,392,,345,,8,0.1,482456,4952,WesternPacific,14.058324,108.277199
Western Sahara,Africa,598682,10,,1,,8,,1,,17,2,,,Africa,24.215527,-12.885834
Yemen,Asia,29886897,1768,,508,,898,,362,,59,17,120,4,EasternMediterranean,15.552727,48.516388
Zambia,Africa,18430129,7164,,199,,5786,,1179,,389,11,90307,4900,Africa,-13.133897,27.849332
Zimbabwe,Africa,14883803,4339,,84,,1264,,2991,,292,6,140421,9434,Africa,-19.015438,29.154857
